Datetime,Water Level (m)
2023-02-19 12:00:00,-0.4265783
2023-02-19 13:00:00,-0.5767701
2023-02-19 14:00:00,-0.70041186
2023-02-19 15:00:00,-0.76708984
2023-02-19 16:00:00,-0.45734596
2023-02-19 17:00:00,-0.04011496
2023-02-19 18:00:00,0.3726046
2023-02-19 19:00:00,0.6931011
2023-02-19 20:00:00,0.816313
2023-02-19 21:00:00,0.5902917
2023-02-19 22:00:00,0.24268971
2023-02-19 23:00:00,-0.010660799
2023-02-20 00:00:00,-0.22655904
2023-02-20 01:00:00,-0.41118056
2023-02-20 02:00:00,-0.56661355
2023-02-20 03:00:00,-0.6916275
2023-02-20 04:00:00,-0.7471903
2023-02-20 05:00:00,-0.35168132
2023-02-20 06:00:00,0.07079179
2023-02-20 07:00:00,0.41312075
2023-02-20 08:00:00,0.59812963
2023-02-20 09:00:00,0.48412842
2023-02-20 10:00:00,0.1655595
2023-02-20 11:00:00,-0.07540687
2023-02-20 12:00:00,-0.27667663
2023-02-20 13:00:00,-0.454835
2023-02-20 14:00:00,-0.604079
2023-02-20 15:00:00,-0.7263259
2023-02-20 16:00:00,-0.7771545
2023-02-20 17:00:00,-0.36800125
2023-02-20 18:00:00,0.108441636
2023-02-20 19:00:00,0.5380558
2023-02-20 20:00:00,0.8299738
2023-02-20 21:00:00,0.8281269
2023-02-20 22:00:00,0.48466462
2023-02-20 23:00:00,0.17645651
2023-02-21 00:00:00,-0.06693152
2023-02-21 01:00:00,-0.27130252
2023-02-21 02:00:00,-0.4487519
2023-02-21 03:00:00,-0.5963517
2023-02-21 04:00:00,-0.713717
2023-02-21 05:00:00,-0.6939609
2023-02-21 06:00:00,-0.19346027
2023-02-21 07:00:00,0.23770106
2023-02-21 08:00:00,0.57749623
2023-02-21 09:00:00,0.7098026
2023-02-21 10:00:00,0.4954457
2023-02-21 11:00:00,0.17714964
2023-02-21 12:00:00,-0.067087434
2023-02-21 13:00:00,-0.27259526
2023-02-21 14:00:00,-0.45131943
2023-02-21 15:00:00,-0.5984235
2023-02-21 16:00:00,-0.7151545
2023-02-21 17:00:00,-0.69553226
2023-02-21 18:00:00,-0.19577272
2023-02-21 19:00:00,0.27703676
2023-02-21 20:00:00,0.68469983
2023-02-21 21:00:00,0.90978384
2023-02-21 22:00:00,0.7662349
2023-02-21 23:00:00,0.38650972
2023-02-22 00:00:00,0.10911687
2023-02-22 01:00:00,-0.12622921
2023-02-22 02:00:00,-0.31644145
2023-02-22 03:00:00,-0.4846967
2023-02-22 04:00:00,-0.6237321
2023-02-22 05:00:00,-0.71653205
2023-02-22 06:00:00,-0.46338698
2023-02-22 07:00:00,0.026187962
2023-02-22 08:00:00,0.43013307
2023-02-22 09:00:00,0.7171285
2023-02-22 10:00:00,0.73014814
2023-02-22 11:00:00,0.4178042
2023-02-22 12:00:00,0.1281384
2023-02-22 13:00:00,-0.107446186
2023-02-22 14:00:00,-0.29985163
2023-02-22 15:00:00,-0.4689279
2023-02-22 16:00:00,-0.6086449
2023-02-22 17:00:00,-0.70490426
2023-02-22 18:00:00,-0.48808497
2023-02-22 19:00:00,0.017285317
2023-02-22 20:00:00,0.46345234
2023-02-22 21:00:00,0.8186529
2023-02-22 22:00:00,0.9006159
2023-02-22 23:00:00,0.60872215
2023-02-23 00:00:00,0.27009585
2023-02-23 01:00:00,0.017159559
2023-02-23 02:00:00,-0.19440997
2023-02-23 03:00:00,-0.37118217
2023-02-23 04:00:00,-0.5223528
2023-02-23 05:00:00,-0.64190274
2023-02-23 06:00:00,-0.65972316
2023-02-23 07:00:00,-0.20334223
2023-02-23 08:00:00,0.23733342
2023-02-23 09:00:00,0.5960304
2023-02-23 10:00:00,0.79071283
2023-02-23 11:00:00,0.65637034
2023-02-23 12:00:00,0.30791995
2023-02-23 13:00:00,0.048352595
2023-02-23 14:00:00,-0.16918588
2023-02-23 15:00:00,-0.34995893
2023-02-23 16:00:00,-0.5061977
2023-02-23 17:00:00,-0.63347536
2023-02-23 18:00:00,-0.672168
2023-02-23 19:00:00,-0.2529826
2023-02-23 20:00:00,0.191384
2023-02-23 21:00:00,0.5641715
2023-02-23 22:00:00,0.79310817
2023-02-23 23:00:00,0.70739263
2023-02-24 00:00:00,0.3624029
2023-02-24 01:00:00,0.0929391
2023-02-24 02:00:00,-0.1334243
2023-02-24 03:00:00,-0.3180293
2023-02-24 04:00:00,-0.48119175
2023-02-24 05:00:00,-0.6169329
2023-02-24 06:00:00,-0.7105323
2023-02-24 07:00:00,-0.5364911
2023-02-24 08:00:00,-0.0735357
2023-02-24 09:00:00,0.3129058
2023-02-24 10:00:00,0.5996059
2023-02-24 11:00:00,0.6719359
2023-02-24 12:00:00,0.43236265
2023-02-24 13:00:00,0.14272384
2023-02-24 14:00:00,-0.08667495
2023-02-24 15:00:00,-0.27487448
2023-02-24 16:00:00,-0.4414659
2023-02-24 17:00:00,-0.57694817
2023-02-24 18:00:00,-0.6736174
2023-02-24 19:00:00,-0.544768
2023-02-24 20:00:00,-0.10564482
2023-02-24 21:00:00,0.26376444
2023-02-24 22:00:00,0.54159594
2023-02-24 23:00:00,0.6214297
2023-02-25 00:00:00,0.40035713
2023-02-25 01:00:00,0.11216475
2023-02-25 02:00:00,-0.117006086
2023-02-25 03:00:00,-0.30573174
2023-02-25 04:00:00,-0.47076726
2023-02-25 05:00:00,-0.6082793
2023-02-25 06:00:00,-0.7144219
2023-02-25 07:00:00,-0.73395115
2023-02-25 08:00:00,-0.3682666
2023-02-25 09:00:00,0.0034613179
2023-02-25 10:00:00,0.32827273
2023-02-25 11:00:00,0.5193388
2023-02-25 12:00:00,0.48868
